date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2006-06-19,32.08551888454648,33.60099154905217,31.28320813424549,32.668392181396484,32.668392181396484,2036316,0.0,0.0
2006-06-26,32.915242523604924,33.66954911842349,32.22950830436316,33.066104888916016,33.066104888916016,854799,0.0,0.0
2006-07-03,33.258119706477125,33.73813432850735,32.91525249300829,33.19640350341797,33.19640350341797,492452,0.0,0.0
2006-07-10,33.02498078895744,33.13469822881962,31.40664658908771,31.78380012512207,31.78380012512207,452309,0.0,0.0
2006-07-17,31.64664349035593,33.18954588470086,31.338062488313117,32.572383880615234,32.572383880615234,405932,0.0,0.0
2006-07-24,32.14723526683584,33.600991727500535,32.14723526683584,33.463844299316406,33.463844299316406,371150,0.0,0.0
2006-07-31,33.22383657966155,33.463842604929255,32.19523484416658,32.640960693359375,32.640960693359375,542838,0.0,0.0
2006-08-07,32.64096237411425,32.91525723071808,32.21580770066097,32.229522705078125,32.229522705078125,373842,0.0,0.0
2006-08-14,32.229516082328566,32.91525046705896,31.715215293780773,32.50381088256836,32.50381088256836,382341,0.0,0.0
2006-08-21,32.50381069199337,32.91525027407164,32.34608948246533,32.77810287475586,32.77810287475586,264430,0.0,0.0
2006-08-28,32.83982304906948,33.60098872233912,32.647818236305746,33.258121490478516,33.258121490478516,372812,0.0,0.0
2006-09-04,33.25812624104424,33.53242111206055,32.77811152470058,33.53242111206055,33.53242111206055,370506,0.0,0.0
2006-09-11,33.47755667712588,35.79533992239227,33.27183685892495,35.45247268676758,35.45247268676758,1183305,0.0,0.0
2006-09-18,35.0410301390415,36.85822751887813,34.355295673574005,35.41818618774414,35.41818618774414,2372345,0.0,0.0
2006-09-25,35.178177775345404,37.30395620111285,35.041030358220176,36.20677947998047,36.20677947998047,719424,0.0,0.0
2006-10-02,35.93248726159943,36.481074314230916,35.726764827976886,36.20677947998047,36.20677947998047,319169,0.0,0.0
2006-10-09,35.82962604478816,36.34392689710569,35.315325192470624,36.20677947998047,36.20677947998047,600334,0.0,0.0
2006-10-16,35.58962432081561,36.27535887331017,35.52104929604432,35.96677780151367,35.96677780151367,385556,0.0,0.0
2006-10-23,35.72676564531423,36.37821392966047,35.383898402591946,36.001060485839844,36.001060485839844,592129,0.0,0.0
2006-10-30,35.76104748891021,36.27534825270545,35.658186289803574,36.06962585449219,36.06962585449219,553592,0.0,0.0
2006-11-06,35.96677310412545,38.26398250861064,35.86391188833741,37.852542877197266,37.852542877197266,861213,0.0,0.0
2006-11-13,37.64681742716628,37.852537212084385,35.863906520848374,37.02965545654297,37.02965545654297,431861,0.0,0.0
2006-11-20,36.41249505858939,37.74967764211401,36.34392266594468,36.61821746826172,36.61821746826172,706359,0.0,0.0
2006-11-27,36.34392406572723,36.99537228441883,36.27535167044147,36.48107147216797,36.48107147216797,560700,0.0,0.0
2006-12-04,36.206774350219774,36.65250273875879,35.521039977617626,35.898193359375,35.898193359375,596167,0.0,0.0
2006-12-11,35.623912312402304,36.99538148619358,35.521051078020015,36.34393310546875,36.34393310546875,609576,0.0,0.0
2006-12-18,36.20677784912449,38.29826736450195,35.658190821202915,38.29826736450195,38.29826736450195,1601476,0.0,0.0
2006-12-25,38.29827113501763,40.80120312965522,37.92111767968212,40.458335876464844,40.458335876464844,517366,0.0,0.0
